blockgroupID,mural_presence,log_income,pop,area,black_prop,vacantprop,comresprop,pos_control,pos_control_w_noise
24_1,1,10.3613553394373,724,590234.6671,0.029005525,0.016433228,0.091010152,6,6
24_3,1,10.3885645062793,1307,1389072.181,0.035960214,0.033795044,0.407251114,7,7
24_4,1,9.60575514423085,720,745006.1036,0.036111111,0.061069874,0.320553329,8,8
24_5,1,10.4935494050127,994,1939154.187,0.289738431,0.142643615,0.347005694,9,9
241_1,1,9.73465461392273,1433,4388428.609,0.797627355,0.024545305,0.476052125,10,10
244_3,1,9.5438080995771,1428,1778098.587,0.904061625,0.056073663,0.061589348,11,11
245_2,1,9.43348392329039,1167,2874159.05,0.88260497,0.175168744,0.024869959,12,12
246_1,1,9.98359179677779,908,2367010.017,0.792951542,0.106672856,0.213161428,13,13
246_3,1,9.41515700659751,847,2565381.424,0.887839433,0.093191737,0.386986839,14,14
25_2,1,10.9151793691735,763,1053681.095,0.015727392,0.053572262,0.058448116,15,15
253_2,1,10.0100523427642,873,1211930.432,0.899198167,0.071220755,0.037747674,16,16
255_3,1,10.5347327332796,795,2570245.631,0.534591195,0.006163987,0.066734896,17,17
256_2,1,10.4788923216145,763,2042253.108,0.432503277,0.014379269,0.019302846,18,18
256_3,1,10.6555873696886,890,3613435.257,0.353932584,0.055431327,0.064958163,19,19
268_1,1,9.44636066110407,1790,2573394.723,0.825698324,0.012572668,0.079789987,20,20
27.01_3,1,10.1266311038503,1612,803633.0938,0.17866005,0.051091552,0.031244205,21,21
278_2,1,9.97827029697981,952,1233116.19,0.927521008,0.009227434,0.187558539,22,22
278_4,1,10.2266212247182,1264,2386014.038,0.928006329,0.035152532,0.130815552,23,23
28.02_5,1,10.4929117648143,1429,978443.6159,0.011896431,0.001905834,0.145865634,24,24
281_3,1,9.4127913000653,818,1096095.235,0.853300733,0.012108405,0.282358223,25,25
286_1,1,9.05228206731791,1727,2799538.5,0.522292994,0.021367333,0.292171603,26,26
29_1,1,10.3923436028731,1461,1193747.946,0.023271732,0.012431408,0.242691471,27,27
3_1,1,10.5066553194765,693,3470210.544,0.086580087,0.012206771,0.589962924,28,28
30.02_1,1,9.93251223157674,929,687289.1605,0.588805167,0.025531515,0.136629675,29,29
30.02_4,1,9.84076072262782,838,612808.2103,0.398568019,0.017390814,0.126846842,30,30
31_5,1,9.48219789408099,866,734711.8998,0.909930716,0.073726675,0.058334138,31,31
32_1,1,9.78143290652882,800,839841.691,0.895,0.052839005,0.052720138,32,32
323_3,1,9.77605182922644,1706,3282171.988,0.233294256,0.011118411,0.128681166,33,33
326_6,1,9.73483218650599,825,1003965.112,0.117575758,0.022736134,0.080178412,34,34
33_1,1,9.06992821825944,1797,1081413.747,0.621591541,0.064766461,0.028296756,35,35
33_3,1,9.39207842523172,768,602333.7714,0.69921875,0.132294501,0.075578786,1,1
330_5,1,9.64601132214141,1541,1304111.439,0.158338741,0.015404666,0.029180504,2,2
345.02_2,1,10.1020924794032,2312,4962001.751,0.114619377,0.014077141,0.268351801,3,3
363.03_1,1,10.1623456776743,2100,19128926.92,0.041904762,0.096034412,0.001469416,4,4
366_1,1,11.3764755318323,1643,26119328.3,0.061472915,0.030537831,0.584924088,5,5
367_1,1,11.1694205569848,1419,6372960.44,0.053558844,0.028888361,0.658375816,6,6
367_2,1,10.872958796881,1123,2247008.509,0.27871772,0.0565106,0.265046558,7,7
369_3,1,10.1414014827538,3916,4465613.596,0.109039837,0,0.740379279,8,8
376_1,1,9.65271583410444,828,3703424.687,0.507246377,0.021795,0.730424892,9,9
376_2,1,10.4353209594591,2158,4006383.089,0.270157553,0.037960852,0.537790835,10,10
377_1,1,8.84721610435754,2540,3924300.296,0.346850394,0.020617307,0.133551329,11,11
377_2,1,9.07863588097876,2553,3460407.13,0.538973756,0.113164859,0.044751139,12,12
377_3,1,9.51731023333525,542,538270.1049,0.701107011,0.213598576,0.040300926,13,13
383_3,1,9.5645121856968,1039,2519600.379,0.266602502,0.088244948,0.395419484,14,14
388_2,1,10.5404611282901,1123,2216749.302,0.211932324,0.004459993,0.05735307,15,15
388_3,1,10.461387583688,727,1673562.985,0.480055021,0.003449239,0.214341511,16,16
389_1,1,9.38168523805651,1054,8096871.072,0.851043643,0.005317057,0.088252897,17,17
39.01_4,1,9.92686222385258,1581,1213127.121,0.233396584,0.005367587,0.134734891,18,18
4.01_1,1,10.9042848603366,2125,2469228.871,0.176941176,0,0.7175422,19,19
4.02_1,1,10.6391433045455,1089,451533.7787,0.048668503,0.127388519,0.642061992,20,20
4.02_2,1,11.0607931875435,2053,2812220.577,0.058451047,0.000803036,0.75927159,21,21
40.01_4,1,10.4037172370887,940,790585.0403,0.032978723,0,0.273718733,22,22
41.01_1,1,9.52149480061311,1304,1058138.995,0.526840491,0.143678284,0.101377026,23,23
42.02_2,1,9.6260857894919,1404,1986719.33,0.086182336,0.024578211,0.285543568,24,24
5_1,1,10.0020198086004,2329,4608222.196,0.37355088,0,0.716803367,25,25
50_1,1,NA,13,84233682.16,0.076923077,0.188179378,1,26,26
6_1,1,10.6130492743642,1781,1855492.463,0.142055025,0,0.736355324,27,27
7_1,1,10.7543006557826,653,431028.1722,0.059724349,0,0.45736771,28,28
7_3,1,10.5683895676558,879,786392.4707,0.034129693,0,0.510954189,29,29
70_3,1,9.07096335550754,901,1761935.754,0.940066593,0.018407416,0.159429505,30,30
70_5,1,9.69695526702712,774,1194483.825,0.978036176,0.073802151,0.252905278,31,31
71.01_3,1,9.28033274379622,782,1066717.778,0.829923274,0.028172883,0.327874875,32,32
74_2,1,10.0618578885076,647,2261889.352,0.86862442,0.104334523,0.156650399,33,33
77_1,1,9.74490205341876,1305,1707822.29,0.186206897,0.003202328,0.051357615,34,34
78_1,1,10.1623070803028,974,1038287.69,0.391170431,0.013338225,0.029344642,35,35
78_4,1,10.414573142508,862,1097361.878,0.203016241,0.007389188,0.09464655,1,1
8.01_1,1,11.2322587274124,1562,1211308.098,0.029449424,0.001579394,0.161664507,2,2
80_2,1,10.0142235941308,930,1003086.217,0.732258065,0.030757948,0.091368573,3,3
80_4,1,9.55286568031047,1234,1510644.921,0.927066451,0.005675936,0.096581087,4,4
82_4,1,9.73376627771791,807,837193.9429,0.951672862,0.012186513,0.0329601,5,5
83.01_1,1,9.81613066131788,1072,2293386.548,0.945895522,0.008223658,0.117703215,6,6
83.01_3,1,9.80983599645467,1218,2041794.694,0.930213465,0.051501944,0.033894677,7,7
83.02_2,1,9.09448048588165,1478,1728487.737,0.941813261,0.033487812,0.231811861,8,8
84_4,1,9.65432081631268,717,1427899.669,0.955369596,0.025437165,0.480898933,9,9
