"blockgroupID","X","blockcount","blockgroup","censustract","total","white","black","asian","other","hispanic","area","income","poverty.1.verypoor","poverty.2.poor","poverty.3.middle","poverty.4.uppermiddle","segregationmetric","povertymetric","vacantprop","comresprop","whiteprop","blackprop","asianprop","otherprop","hispanicprop","violentcrime.2006","violentcrime.2007","violentcrime.2008","violentcrime.2009","violentcrime.2010","violentcrime.2011","violentcrime.2012","violentcrime.2013","violentcrime.2014","violentcrime.2015","violentcrime.2016","nonviolentcrime.2006","nonviolentcrime.2007","nonviolentcrime.2008","nonviolentcrime.2009","nonviolentcrime.2010","nonviolentcrime.2011","nonviolentcrime.2012","nonviolentcrime.2013","nonviolentcrime.2014","nonviolentcrime.2015","nonviolentcrime.2016","mural_count","violentcrime_total","nonviolentcrime_total","mural_presence"
"27.02_3",597,9,3,27.02,740,639,19,36,11,35,873870.7945,41026,0.01192053,0.013245033,0.101986755,0.872847682,0.494151889,0.057409646,0.029839585,0.033772222,0.863513514,0.025675676,0.048648649,0.014864865,0.047297297,16,14,13,13,17,14,19,12,15,11,8,34,27,31,24,35,21,25,15,22,13,11,0,265,344,"0"
"27.02_4",598,10,4,27.02,800,701,25,22,10,42,781060.6724,26191,0.031847134,0.057324841,0.343949045,0.566878981,0.506888376,0.193700051,0.036565977,0.082916276,0.87625,0.03125,0.0275,0.0125,0.0525,22,25,31,30,24,24,19,21,32,24,13,59,37,27,27,28,17,25,33,36,39,16,0,122,256,"0"
"270_1",599,13,1,270,782,140,462,92,21,67,2328057.92,30036,0.025510204,0.071428571,0.151360544,0.75170068,0.227492129,0.129595315,0.006936161,0.024153247,0.179028133,0.590792839,0.117647059,0.02685422,0.085677749,11,14,18,5,9,12,17,13,10,11,2,25,25,25,27,30,29,25,20,20,22,8,0,239,438,"0"
"270_2",600,21,2,270,1544,125,1288,37,44,50,4583629.611,25078,0.08045977,0.094658553,0.214334009,0.610547667,0.417657228,0.225470815,0.010893604,0,0.080958549,0.834196891,0.023963731,0.028497409,0.03238342,21,22,26,21,23,30,28,20,19,19,10,44,42,51,47,55,39,39,30,43,34,14,0,135,286,"0"
"271_1",601,12,1,271,868,118,566,111,15,58,1826399.915,26016,0.033877039,0.052697616,0.104140527,0.809284818,0.295808639,0.108768589,0.003642255,0.078429152,0.1359447,0.652073733,0.127880184,0.017281106,0.066820276,29,11,12,7,8,12,9,11,13,13,10,25,37,20,28,24,36,22,21,31,27,15,0,159,159,"0"
"271_2",602,6,2,271,914,56,480,254,32,92,931994.2991,12759,0.092543276,0.319573901,0.264980027,0.322902796,0.330272409,0.413084176,0,0.003001085,0.061269147,0.525164114,0.277899344,0.035010941,0.100656455,16,19,28,15,12,11,16,17,7,10,8,12,18,11,8,21,18,16,15,13,18,9,0,115,177,"0"
"271_3",603,6,3,271,671,17,434,150,19,51,1671651.065,17066,0.148514851,0.150165017,0.242574257,0.458745875,0.390856729,0.345512952,0.018335574,0.020594754,0.02533532,0.646795827,0.223546945,0.028315946,0.076005961,16,20,11,11,12,8,15,11,6,5,0,17,18,15,18,25,16,16,15,15,18,4,0,98,136,"0"
"272_1",604,4,1,272,870,53,720,49,22,26,903357.4632,20066,0.018126888,0,0.279456193,0.702416918,0.407836491,0.116692896,0,0,0.06091954,0.827586207,0.056321839,0.025287356,0.029885057,7,5,9,14,10,16,8,7,13,5,4,20,9,12,14,8,11,13,12,10,12,15,0,301,700,"0"
"272_2",605,9,2,272,1974,102,1630,43,61,138,3015337.546,23825,0.069527215,0.157727453,0.282081843,0.490663488,0.411599199,0.281779222,0,0.1615805,0.051671733,0.825734549,0.021783181,0.030901722,0.069908815,28,28,34,33,26,24,29,22,29,29,19,76,75,51,82,45,84,53,69,51,76,38,0,269,367,"0"
"272_3",606,10,3,272,1434,128,975,193,26,112,3397746.391,25404,0.011292346,0.043287327,0.300501882,0.644918444,0.330359604,0.147144603,0,0.019107361,0.089260809,0.679916318,0.134588563,0.018131102,0.078103208,29,39,29,20,23,27,34,21,17,21,9,39,38,32,43,53,40,23,29,27,25,18,0,710,1278,"0"
"273_1",607,20,1,273,1465,120,708,384,39,214,4775822.191,15051,0.075211393,0.172674677,0.200267023,0.551846907,0.287450362,0.269591146,0,0.645765639,0.081911263,0.483276451,0.262116041,0.02662116,0.146075085,89,91,87,60,56,73,58,57,47,50,42,154,148,139,137,107,105,97,112,94,128,57,0,420,512,"0"
"273_2",608,9,2,273,1107,76,407,303,20,301,1956442.227,21450,0.033140017,0.032311516,0.13918807,0.795360398,0.360017487,0.105994651,0.023160772,0.111870335,0.06865402,0.367660343,0.273712737,0.018066847,0.271906052,41,56,38,35,34,46,45,47,31,37,10,49,90,53,41,45,40,38,49,32,36,39,0,386,362,"0"
"273_3",609,8,3,273,1172,66,733,202,41,130,2009433.288,17242,0.014313919,0.174728529,0.269496545,0.541461007,0.324962516,0.231365964,0,0.011274438,0.056313993,0.625426621,0.172354949,0.034982935,0.110921502,36,34,39,33,43,56,35,53,21,19,17,43,41,30,32,27,42,29,38,41,26,13,0,209,256,"0"
"273_4",610,6,4,273,1174,96,499,330,16,233,846723.3074,21720,0,0.098265896,0,0.901734104,0.297617995,0.068697819,0.001875735,0.015698986,0.081771721,0.425042589,0.28109029,0.01362862,0.19846678,29,19,33,21,22,26,19,12,10,9,9,26,28,26,21,27,34,23,15,12,26,18,0,198,243,"0"
"273_5",611,6,5,273,1151,48,709,175,13,206,656675.0408,16826,0.151196172,0,0.308133971,0.540669856,0.340020942,0.266260603,0,0.003330153,0.041702867,0.615986099,0.152041703,0.011294526,0.178974805,26,20,24,10,13,29,8,23,22,14,9,21,29,20,21,34,22,24,18,21,16,17,0,325,429,"0"
"274.01_1",612,9,1,274.01,1470,101,723,405,29,212,1047349.259,13540,0.014457831,0.288353414,0.3437751,0.353413655,0.304582961,0.336916305,0,0.132713755,0.068707483,0.491836735,0.275510204,0.019727891,0.144217687,50,26,35,34,30,24,33,31,28,17,17,53,48,39,47,51,30,41,37,33,33,17,0,371,444,"0"
"274.01_2",613,9,2,274.01,1141,67,419,412,14,229,1385780.736,14263,0.195624196,0.099099099,0.413127413,0.292149292,0.376186602,0.418830978,0.012583786,0.168117009,0.058720421,0.367221735,0.361086766,0.012269939,0.200701139,35,29,44,44,21,48,37,37,23,32,21,42,53,52,42,42,43,35,39,40,38,18,0,349,289,"0"
"274.01_3",614,8,3,274.01,846,73,512,125,38,98,1081920.292,12921,0.110367893,0.266443701,0.435897436,0.18729097,0.290070351,0.454376897,0.002235543,0.240018762,0.086288416,0.605200946,0.147754137,0.044917258,0.115839243,45,44,39,34,40,27,21,41,24,21,13,38,34,29,20,22,20,27,28,28,25,18,0,255,278,"0"
"274.02_1",615,9,1,274.02,1372,108,880,158,34,192,836353.9504,12389,0.049766719,0.16718507,0.516329705,0.266718507,0.290644423,0.349550666,0,0.019300331,0.078717201,0.641399417,0.11516035,0.024781341,0.139941691,19,24,25,28,29,28,24,25,21,22,10,19,35,37,30,27,30,20,16,24,28,12,0,213,295,"0"
"274.02_2",616,11,2,274.02,975,77,456,134,24,284,1434583.613,13359,0,0,0.705105634,0.294894366,0.290387265,0.246470144,0.015292787,0.066802918,0.078974359,0.467692308,0.137435897,0.024615385,0.291282051,31,20,25,18,11,22,28,20,18,13,7,43,22,35,32,21,35,35,26,10,21,15,0,315,410,"0"
"274.02_3",617,9,3,274.02,1054,90,514,210,16,224,1169321.984,14709,0,0.074862637,0.463598901,0.461538462,0.292449076,0.214387874,0.038749964,0.07063556,0.085388994,0.487666034,0.199240987,0.015180266,0.212523719,29,47,32,22,24,37,37,19,21,26,21,37,47,52,37,40,31,31,32,34,44,25,0,461,464,"0"
