"","blockgroup_id","prop_score"
"548","286_5",0.191042477074053
"97","134.02_3",0.189987534200593
"276","199_2",0.189726588584241
"30","108_1",0.189703292694611
"1107","93_5",0.188378528163215
"35","11.01_3",0.185896572796605
"1042","74_5",0.185677891316137
"215","178_4",0.185177800330198
"1019","70_1",0.184043274461707
"922","381_2",0.183992169434488
"1082","84_6",0.183886346965735
"264","197_1",0.183297274862366
"83","122.04_1",0.182990041500233
"156","163_3",0.18261648770778
"578","294_1",0.182132262685722
"1007","66_4",0.181670687711354
"929","384_2",0.181533728373107
"513","279.01_3",0.18153100251468
"1006","66_3",0.181445324407801
"47","113_2",0.181208752687466
"604","300_7",0.181030461116169
"816","348.01_3",0.180514947994017
"625","306_3",0.179650390819559
"584","298_4",0.179332808500591
"154","163_1",0.179302716801552
"23","104_4",0.179087318123273
"857","36_3",0.178866166978855
"319","213_3",0.178156510300925
"3","10.02_2",0.176499386727178
"274","198_6",0.176230470046848
"904","375_1",0.17567501707913
"993","63_3",0.175491360920653
"75","12.02_5",0.175448386977377
"211","177.02_5",0.175339946971071
"270","198_2",0.17522955773055
"107","137_1",0.17468787783507
"931","385_2",0.174520126855959
"640","31_1",0.174191989727868
"379","247_5",0.174047467767079
"1090","86.02_2",0.173745286253128
"119","145_2",0.172956901534564
"302","207_4",0.172896468599916
"53","114_5",0.172523877568029
"1045","78_3",0.172433490614782
"976","55_1",0.172386845926877
"644","31_6",0.171447584606963
"243","19_2",0.170919509061477
"480","272_2",0.170198633518407
"345","236_3",0.168860302192784
"285","202_1",0.168488462899286
"261","195.02_1",0.167850093793737
"497","275_3",0.167723418844339
"253","191_5",0.167357045745654
"597","30.02_3",0.166134933364736
"596","30.02_2",0.165523714449045
"489","274.01_3",0.165492032719221
"1117","98.01_2",0.164473897826443
"1003","65_6",0.164248119222821
"554","288_3",0.164054765071992
"290","202_6",0.161930006819836
"277","20_1",0.161206746196153
"292","204_1",0.161154414716677
"1096","88.02_1",0.161027721645344
"1085","85_3",0.160801160549073
"98","135_1",0.159862490045705
"157","164_2",0.159421123058612
"144","16_2",0.159275631161879
"1111","95_3",0.159262739065359
"357","240_1",0.159166957614278
"316","212_2",0.158707718780858
"95","134.01_2",0.157783082129753
"527","280_4",0.157719365395796
"210","177.02_4",0.157334327703922
"317","213_1",0.157236592856828
"355","239_2",0.156829609021589
"257","192_3",0.15666867736723
"212","178_1",0.156449275871192
"381","248_2",0.156011556023218
"281","201.02_1",0.154101420887762
"88","13_1",0.153690161867371
"242","19_1",0.153430682721211
"378","247_4",0.152829925123549
"525","280_2",0.152585292222977
"29","107_4",0.152325017827822
"27","107_1",0.151612572556429
