"","blockgroup_id","prop_score"
"200","93_4",0.137802493315033
"107","23_1",0.136295203231223
"201","94_2",0.134603387645853
"45","144_3",0.134251977489667
"170","70_3",0.133369174570278
"56","153_1",0.132814946898545
"91","195.01_2",0.131818273974948
"36","139_3",0.130985429039854
"136","31_5",0.13067054974177
"140","33_1",0.130598950906822
"109","231_1",0.129261435223185
"22","119_3",0.128669151093593
"108","23_2",0.127054442033767
"137","32_1",0.125751239743886
"132","29_1",0.124215584387908
"87","18_1",0.12069527196175
"158","39.01_4",0.119664032716813
"206","9800_1",0.118723503767733
"188","87.01_1",0.118188940439778
"110","238_3",0.117338654636645
"210","9891_1",0.114063232386131
"194","91_1",0.111236490944767
"13","11.01_4",0.111043944796602
"162","40.01_4",0.110458401675424
"178","80_2",0.11032636472573
"9","109_1",0.109163357843617
"74","17_1",0.107876508222443
"129","28.02_5",0.1078507302603
"67","162_3",0.106572185615328
"116","244_3",0.105286775746347
"97","200_2",0.104755756290193
"103","212_1",0.103364751696521
"175","78_1",0.102095965048109
"142","330_5",0.101935271367945
"181","83.01_1",0.100571647675718
"176","78_4",0.10014546775096
"155","388_2",0.0988629386991464
"63","160_5",0.0958511428394435
"27","131_2",0.0946964264011937
"32","136.02_2",0.093518626731663
"203","94_4",0.0927053421322609
"156","388_3",0.0919607766569205
"179","80_4",0.0886629817672075
"111","24_1",0.0858281784793102
"10","109_2",0.0855793858400947
"94","199_3",0.0854722400691802
"138","323_3",0.0831223894284018
"123","256_2",0.0823532931508609
"121","253_2",0.0779368651882838
"126","27.01_3",0.0734969458924403
"64","160_7",0.0733876811213424
"122","255_3",0.0679151980005433
"204","96_2",0.0666810869521101
"151","377_1",0.0646970579894357
"139","326_6",0.0598057857144586
"144","363.03_1",0.0570467096099311
"59","157_2",0.0561903626977678
"61","158_1",0.0462509935542629
"180","82_4",0.0318020756465737
"166","50_1",NA
"207","9804_1",NA
"208","9807_1",NA
"209","9809_1",NA
